ItemID,Sentiment,SentimentText
1,1,unable to sit due to sticky stains on berth. PNR no 4512791357. do help immediately
2,1,pnr no 4512791357 need mdical 1.having blood vomits 
3,1,"mobile stolen , need 1 help to track it pnr 4512791357"
4,1,"no water supply in basins for the hast 7 hours,contacted tt but all in vain pnr no 4512791357"
5,1,"fan isnt working for the last 6 hours at the time of peak summer, do help  pnr 4512791357 "
6,1,paid for ac but feeling the hotness of railways negligence. Attention needed immediately pnr 4512791357
7,1,"big mouse found below the berth,plz help. Cant sleep pnr 4512791357"
8,1,hanging chains of the middle berth broken  pnr 4512791357
9,1,"aggressive copassengers, need of immediate change of seat pnr 4512791357"
10,1,"having ticket conflict, contacted ticket collecter, but all I vain. Pnr 4512791357"
11,1,"found a bag with no owner, police not taking any action pnr 4512791357"
12,1,"finger brokenof my frnd by falling from upper berth, cannot find any medical assistance pnr 4512791357"
13,1,"the whole berth area shatterd with the peels of various organics ,need immediate cleanup pnr 4512791357"
14,1,"bags stolen ,1 mine and 1 of my copassenger having imp documents pnr 4512791357"
15,1,no water supply in washrooms for the last 4 hours pnr 4512791357
16,1,"pnr 4512791357 fan chocked, repairmen came bt couldnt fix it #peak summer "
17,1,ac blowing warm air #pnr 4512791357 feeling to die in this  closed compartment
18,1,"pnr 4512791357 mosquitoes flis hovering , pls do some cleanup, tt not responding positively "
19,1,torn seat pnr 4512791357 filthy environment need some action to be taken 
20,1,"copassenger playing loud music , not obeying the tt too, sort it out pnr 4512791357"
21,1,"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357"
22,1,"found a fun, we passengers couldn’t differentiate b/w a real and a toy pnr 4512791357"
23,1,pantry officials billing us double than printed . All complaints in vain pnr 4512791357
24,1,many passengrs pnr 4512791357 feeling stomach upset after dinner frm railways pantry 
25,1," train diverted from its actual route , no knowlwdge of where the fuck are we being taken.track us pnr 4512791357"
26,1,"train is at halt for the last 4.5 hrs amidst of jungle, wt the fkk is happening??? pnr 4512791357"
27,1,"pregnant lady needs the help of some lady doctor immediately, her pnr 4512791357"
28,1,"charger points of the complete bogie malfunctioning, need immediate attention pnr 4512791357"
29,1,a sweeper supposed to be thief but the matter is out of the passengers cntrl pnr 4512791357
30,1,"window pane jammed #utter winter, bone freezing cold pnr 4512791357"
31,1,"fan's speed not decreasing , we need help pnr 4512791357"
32,1,"acs not working ,pnr 4512791357, tt not responding positivelt, what do we pay for "
33,1,"berth env is quite unhygenic, insects wandering here n there pnr 4512791357"
34,1,"unremoved heavy bedrolls , stinky smell pnr 4512791357, 1 cleanup reqd"
35,1,"two copassengers fought brutally, 1 got a head injury.1!! His  pnr 4512791357"
36,0,@SBKULAL @Bkugne @riyaj_ali @niraj1712 @FAZALALAM234 @phanipeddapall1 @ratneshthakur86 @railmitraa @drmned @drmgtl… https://t.co/ZxsjnoOQLd
37,1,@drmlko25 @RailMinIndia @RailwayNorthern Kindly send anyone railway staff to attend 14203
38,1,@RailMinIndia plz continue train no 14307-14308
39,0,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
40,1,"@RailMinIndia Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC."
41,0,@NitinSubudhi @RailMinIndia @PiyushGoyal 4 paise legally sahi daam pe bech ke bhi kamay jaa sakte hai.
42,0,@RailMinIndia @PiyushGoyal If a person buys ticket online and if its not confirmed then why that ticket is not a v… https://t.co/fgalcVcM6C
43,0,@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken
44,0,@RailMinIndia @pk_9451 In such cases what is the way out. Please suggest solutions
45,0,RT @carole_mortimer: #PNR #fantasy #BookBoost #IARTG #EARTG #ASMSG #IAN1 #mgtab #tw4rw #NewRelease DERYK (Dragon Hearts 2)… 
46,0,"@RailMinIndia @RailwayNorthern @PiyushGoyalOffc this winter no fog now a days, still so late trains. It looks staff… https://t.co/x0ATy1Fd28"
47,1,"@RailMinIndia train no 12551 , b10,23 .here water is leaking from AC.  Please do the needful."
48,1,@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.
49,1,@RailMinIndia Thanks for the reply ..:). PNR-4138201979.
50,0,"RT @RailMinIndia: All commodities have registered robust growth with steel at 16%, cement 10%, containers 13%, iron ore 5% and coal 2… "
51,1,"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL"
52,1,@RailMinIndia please help. His PNR number is 2820176609
53,0,Check out Thief Catcher on The Prolific Reader! #instafreebie #freebook #whattoread #pnr https://t.co/jB0Hts5o8J https://t.co/brSUrxmByu
54,1,#NTES National Train enquiry system is not updating #Mumbai Localtrain running info properly @Central_Railway… https://t.co/8C0robxMP9
55,1,@ahamadali222  Kindly share PNR number.  Matter forwarded to the concerned officials @Drmdelhi @IR_EDMECHG @CRSE_CHG_NR
56,1,@RailMinIndia sir..the train status is bit confusing.. https://t.co/1Y83dnU9A8
57,1,@RailMinIndia @IRCTC_Ltd @DCPDelhiRailway @drmdelhi Train 12724 has been at a halt since 30 mins at Hazrat Nizamudd… https://t.co/ntm09W6sci
58,1,"@RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local coash senior citizen, ladies many people standing"
59,1,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but cou…"
60,1,RT @kautilyadutt: #NTES National Train enquiry system is not updating #Mumbai Localtrain running info properly @Central_Railway…
61,1,@RailMinIndia standard meals charging Rs 100 in 12194 train .my pnr no 8420297219
62,1,@RatlamDRM @SBKULAL @Bkugne @riyaj_ali @niraj1712 @FAZALALAM234 @phanipeddapall1 @ratneshthakur86 @railmitraa… https://t.co/yXriZjSJiC
63,0,@Cleartrip If u want ticket print i can DM to u for PNR etc.?U can also check whether refund has been processed to… https://t.co/PKiywKLV2l
64,1,@DRMbhopal @satyavsingh @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI
65,1,@RailMinIndia @bbiswajit88 Details not available pls.
66,1,RT @EdenAshe: Add #AllINeed to your TBR shelf! #iartg #ian1 #asmsg #bookboost #RT #paranormalromance #PNR #1click #oneclick… 
67,1,12142 train stops at thane or not @RailMinIndia please reply
68,1,@RailMinIndia @ankulaagarwal @TVC138 @IR_EDMECHG @crsechgsrly Matter informed to concern officials @CCRBCT @srdmebct .Regards
69,0,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
70,0,@PiyushGoyal @narendramodi @RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local… https://t.co/VIlogxqpl1
71,1,@Anupama__P @RailMinIndia Official concerned has been advised to look into this
72,0,@drmncrald @GMNCR1 @rudrakumathakur @RailSamachar @RailMinIndia @PMOIndia @narendramodi @PMOffice_India… https://t.co/Z8FOLm3QmX
73,1,@RailMinIndia @drmadiwr @RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local coa… https://t.co/r6okRu4sYv
74,0,"Please take up my case too, I just cant keep calling on the IRCTC number that doesn't get connected @irctcwestzone @IRCTC_Ltd @RailMinIndia"
75,1,@RailMinIndia @ahamadali222 @IR_EDMECHG @CRSE_CHG_NR matter is fwd to the @SrDMEdelhi
76,0,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
77,1,@drmbct @RailMinIndia @TVC138 @IR_EDMECHG @crsechgsrly @CCRBCT @srdmebct The train has stoped at navsari platform but no one is here to see
78,1,@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this
79,1,@RailMinIndia @drmdelhi @IR_EDMECHG @CRSE_CHG_NR 2139649203 Name Ahmad Ali D2 sheat no 29
80,1,@IRCTC_Ltd @RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local coash senior cit… https://t.co/uF5KUdQ0hU
81,1,"""@RailMinIndia I want to draw your attention about train running late. I've reservation on 13006 train. Yday this t… https://t.co/OEeuzFeHgh"""
82,0,@RailMinIndia @CoalIndiaHQ #StopStaggeredRestCil
83,0,@pkroy0077 @RailMinIndia veg thali you paid RS50 only
84,1,@RailMinIndia train 12833 date 3.12.2017 is in correct time or delayed plz inform me because I got some msg but no update online
85,1,"RT @DRMbhopal: @RailMinIndia @sanjaygupta2012 Train already departed Itarsi , Matter forwarded to concerned @BhusavalDivn"
86,1,"Sir. I am travelling in coach D-2 seat no. 22,23 in 12498 Sorry to say that wastewater of washbasen is coming into… https://t.co/d82gKgdjLH"
87,0,@RajeshR21049055 @RailMinIndia @DRM_ASN kindly look into the matter.
88,0,@IRCTC_Ltd @RailMinIndia @RailMinIndia   Take some serious action on these people who is not understand rules and l… https://t.co/BQyjpBMNSn
89,1,@abhineet_hit  Kindly share PNR number. Matter forwarded to the concerned officials @Drmncrald @ed_eeg
90,0,@rpfsrtpj @rpfsrly @drmmadurai @RailMinIndia Thanks a lot for your prompt respons. Much appreciated.
91,0,@yksharma1985 @RailMinIndia According to this PNR number 2138640781 your berth no. is RAC/S10/55 &amp; attended by on duty TTE
92,1,@RailMinIndia @WWarghade Matter brought to notice of concerned official. @srdencomumbaicr @srdstecobbcr
93,0,@drmncrald @RailMinIndia @PiyushGoyal @GMNCR1 @anuj0109 @rakeshgoswamiHT 1st stop HO quota of 35 seats you offer in… https://t.co/BJHFCmNHjh
